ticket_id,customer_id,agent_id,created_at,first_response_at,resolved_at,channel,category,priority,ai_assisted,escalated,status,csat_score
1001,18,5,2026-05-17 08:45:00,2026-05-17 09:10:00,2026-05-17 12:03:00,Chat,Cancellation,Low,1,1,Resolved,
1002,144,4,2026-03-15 09:31:00,2026-03-15 11:21:00,,Email,Delayed Flight,High,0,0,Open,
1003,12,2,2026-06-26 12:45:00,2026-06-26 12:57:00,,Chat,Payment Question,High,1,0,Open,
1004,76,4,2026-06-17 11:21:00,2026-06-17 11:52:00,2026-06-17 12:04:00,Email,Account Access,Normal,1,0,Resolved,5
1005,91,3,2026-05-28 11:12:00,2026-05-28 11:42:00,2026-05-28 14:22:00,Chat,Order Change,Normal,1,0,Resolved,4
1006,140,2,2026-05-17 17:40:00,2026-05-17 18:09:00,2026-05-17 20:07:00,Email,Payment Question,Normal,1,0,Resolved,5
1007,45,3,2026-06-13 12:25:00,2026-06-13 12:39:00,2026-06-13 14:59:00,Chat,Package Recommendation,Normal,1,0,Resolved,5
1008,86,4,2026-04-13 12:45:00,2026-04-13 12:49:00,2026-04-13 14:26:00,Email,Package Recommendation,Normal,1,0,Resolved,5
1009,147,5,2026-03-10 17:24:00,2026-03-10 17:27:00,2026-03-11 00:10:00,Email,Cancellation,High,1,1,Resolved,3
1010,151,4,2026-01-12 16:19:00,2026-01-12 16:24:00,2026-01-13 00:34:00,Phone,Cancellation,Normal,0,0,Resolved,4
1011,123,1,2026-02-01 09:49:00,2026-02-01 10:13:00,2026-02-01 18:59:00,Email,Delayed Flight,Normal,0,0,Resolved,
1012,67,1,2026-03-08 13:50:00,2026-03-08 14:21:00,2026-03-08 16:21:00,Email,Package Recommendation,Normal,1,0,Resolved,5
1013,165,3,2026-02-07 12:23:00,2026-02-07 12:24:00,,Phone,Cancellation,Normal,0,0,Open,
1014,143,2,2026-02-12 17:42:00,2026-02-12 18:36:00,2026-02-12 23:29:00,Email,Travel Agent Support,Low,0,0,Resolved,5
1015,161,2,2026-04-01 19:41:00,2026-04-01 20:22:00,2026-04-01 22:45:00,Email,Order Change,Normal,0,0,Resolved,5
1016,88,5,2026-04-09 08:28:00,2026-04-09 08:30:00,2026-04-09 17:30:00,Phone,Cancellation,Normal,0,1,Resolved,3
1017,63,1,2026-06-30 12:59:00,2026-06-30 14:24:00,2026-06-30 20:58:00,Web Form,Cancellation,High,0,0,Resolved,
1018,146,1,2026-03-23 17:04:00,2026-03-23 17:07:00,2026-03-23 19:40:00,Email,Order Change,Normal,1,0,Resolved,5
1019,77,2,2026-04-16 17:55:00,2026-04-16 20:23:00,2026-04-16 21:26:00,Email,Package Recommendation,Normal,0,0,Resolved,5
1020,137,4,2026-01-14 08:44:00,2026-01-14 08:50:00,2026-01-14 11:24:00,Chat,Order Change,Normal,1,1,Resolved,
1021,148,3,2026-03-22 08:37:00,2026-03-22 08:42:00,2026-03-22 22:36:00,Phone,Cancellation,Normal,0,1,Resolved,3
1022,2,2,2026-04-02 09:15:00,2026-04-02 09:22:00,2026-04-02 16:11:00,Web Form,Cancellation,Low,1,0,Resolved,4
1023,59,3,2026-01-26 09:22:00,2026-01-26 09:49:00,2026-01-26 11:58:00,Web Form,Package Recommendation,Low,1,0,Resolved,4
1024,91,3,2026-06-28 17:53:00,2026-06-28 18:20:00,2026-06-29 01:54:00,Chat,Delayed Flight,Normal,1,0,Resolved,4
1025,154,5,2026-04-28 19:43:00,2026-04-28 21:55:00,2026-04-29 05:47:00,Email,Cancellation,High,0,1,Resolved,2
1026,43,1,2026-04-07 17:55:00,2026-04-07 18:10:00,2026-04-07 19:19:00,Email,Package Recommendation,Normal,1,0,Resolved,
1027,177,1,2026-04-09 16:30:00,2026-04-09 19:34:00,2026-04-10 03:41:00,Email,Delayed Flight,Normal,0,0,Resolved,
1028,135,4,2026-05-07 17:30:00,2026-05-07 18:02:00,2026-05-07 21:30:00,Chat,Cancellation,Normal,1,0,Resolved,
1029,122,4,2026-01-21 18:26:00,2026-01-21 18:39:00,2026-01-22 04:33:00,Email,Cancellation,Normal,1,1,Resolved,
1030,38,1,2026-05-21 10:41:00,2026-05-21 11:49:00,2026-05-21 14:43:00,Email,Order Change,Normal,0,0,Resolved,4
1031,85,3,2026-04-18 16:49:00,2026-04-18 17:16:00,2026-04-18 21:03:00,Email,Payment Question,Normal,1,0,Resolved,4
1032,176,1,2026-04-18 15:03:00,2026-04-18 15:34:00,2026-04-18 18:44:00,Email,Payment Question,Normal,1,0,Resolved,5
1033,28,1,2026-01-13 12:39:00,2026-01-13 15:08:00,2026-01-13 22:06:00,Web Form,Delayed Flight,High,0,0,Resolved,4
1034,110,1,2026-02-04 08:36:00,2026-02-04 08:46:00,2026-02-04 10:09:00,Email,Account Access,Normal,1,0,Resolved,5
1035,116,1,2026-05-03 14:29:00,2026-05-03 14:40:00,,Email,Account Access,Normal,1,0,Open,
1036,63,5,2026-03-02 16:53:00,2026-03-02 16:58:00,2026-03-03 05:15:00,Email,Cancellation,Low,1,1,Resolved,
1037,128,4,2026-04-09 09:58:00,2026-04-09 10:31:00,2026-04-09 12:58:00,Chat,Package Recommendation,Normal,1,0,Resolved,5
1038,162,5,2026-02-01 14:17:00,2026-02-01 14:43:00,2026-02-01 21:44:00,Chat,Cancellation,Normal,1,1,Resolved,3
1039,133,5,2026-06-27 16:49:00,2026-06-27 16:56:00,2026-06-28 00:39:00,Phone,Cancellation,Normal,0,1,Resolved,3
1040,69,5,2026-06-29 11:53:00,2026-06-29 12:03:00,,Web Form,Order Change,Normal,1,1,Open,
1041,171,4,2026-05-16 09:12:00,2026-05-16 10:38:00,2026-05-16 10:34:00,Email,Account Access,Normal,0,0,Resolved,4
1042,143,5,2026-01-04 18:11:00,2026-01-04 20:51:00,2026-01-05 03:34:00,Email,Travel Agent Support,High,0,1,Resolved,
1043,150,4,2026-06-06 10:11:00,2026-06-06 10:34:00,2026-06-06 14:48:00,Chat,Cancellation,Normal,1,1,Resolved,3
1044,93,1,2026-01-30 13:29:00,2026-01-30 13:59:00,2026-01-30 14:18:00,Email,Account Access,High,1,0,Resolved,5
1045,107,1,2026-06-25 19:33:00,2026-06-25 20:02:00,2026-06-25 22:02:00,Chat,Package Recommendation,Low,1,0,Resolved,5
1046,71,4,2026-05-13 09:01:00,2026-05-13 09:14:00,2026-05-13 11:04:00,Email,Payment Question,Normal,1,0,Resolved,5
1047,168,3,2026-02-09 09:22:00,2026-02-09 10:23:00,2026-02-09 11:10:00,Chat,Account Access,Low,0,0,Resolved,5
1048,168,5,2026-03-07 13:09:00,2026-03-07 13:42:00,2026-03-07 23:32:00,Chat,Delayed Flight,Normal,1,1,Resolved,
1049,133,4,2026-03-25 16:14:00,2026-03-25 16:21:00,2026-03-25 19:23:00,Phone,Cancellation,Normal,0,0,Resolved,5
1050,60,3,2026-01-26 15:44:00,2026-01-26 17:17:00,2026-01-26 20:46:00,Web Form,Order Change,Low,0,0,Resolved,4
1051,149,4,2026-03-25 17:24:00,2026-03-25 17:46:00,2026-03-25 19:23:00,Email,Package Recommendation,Normal,1,0,Resolved,
1052,118,4,2026-05-22 15:46:00,2026-05-22 17:37:00,,Email,Travel Agent Support,Low,0,0,Open,
1053,29,4,2026-01-10 08:06:00,2026-01-10 08:20:00,2026-01-10 11:12:00,Web Form,Payment Question,High,1,1,Resolved,4
